Name,Website,Address,Contact Number,Email
Telangana Institute of Excellence,,"Ground Floor, 3-6, Anasuya Complex, 10, Liberty Rd, Gagan Mahal, Domalguda, Himayatnagar, Hyderabad, Telangana 500029, India",,
J.B. Group Of Educational Institutions,http://www.jbgroup.org.in/,"Shop Number 6-3-24P/1/1/A,Beside Care Hospital, Rd Number 1, Prem Nagar, Banjara Hills, Hyderabad, Telangana 500034, India",+91 99854 50675,
Institute for Academic Excellence,http://www.iae.education/,"3-6-692, Street No.12, Himayatnagar, Hyderabad, Telangana 500029, India",+91 96187 39900,mpadmace@jntuh.ac.in
Hyderabad Institute of Excellence,https://hieschool.edu.in/,"Babukhan House, # 520, Road No. 10, Banjara Hills, Hyderabad, Telangana 500034, India",+91 23356085,admissions@hieschool.edu.in
Vijetha College Group,http://www.vijethaacademy.org/,"Sona Arcade, Office Suite Number: #20, St Marys Rd, opp. to Regional Passport Office Hyderabad, Regimental Bazaar, Shivaji Nagar, Secunderabad, Telangana 500003, India",+91 81860 47777,vijethamail@gmail.com
Delight Institute,,"#-6-451/A,, 4, Esamia Bazar Rd, Koti, Hyderabad, Telangana 500095, India",+91 89788 24141,
IIE Academy Shahen Nager- Best Institute in Hyderabad,https://iiegroupofinstitutions.com/,"1st Floor, SK Plaza, opp. Zam Zam Bakery, Shaheen Nagar, Habeeb Colony, Hyderabad, Telangana 500005, India",,info@iiegroupofinstitutions.com
Institute of Advanced Study in Education,,"CGFG+CMG, Osmania University Main Rd, Ravindra Nagar, Osmania University, Amberpet, Secunderabad, Telangana 500007, India",+91 40 2709 8260,
Sri Sanjeevni Educational Academy,http://srisanjeevniedu.com/,"2-2-16, A-Lane, beside OU Main Gate, DD Colony, Amberpet, Hyderabad, Telangana 500013, India",+91 73964 65668,
Sri Mega Study Circle,,"9GX4+925, No. S-5&6, 2nd Floor, Diamond Towers, Opposite Metro Diagnostics, OU Road,, Nallakunta, Sumitra Sapandana Enclave, Padma Colony, New Nallakunta, Hyderabad, Telangana 500044, India",,
VelocIITy Education Institute,http://velociity.co.in/,"C9XQ+997, VIP Hills, Silicon Valley, Madhapur, Hyderabad, Telangana 500081, India",+91 40 2312 3322,
National Institute of Pharmaceutical Education And Research (NIPER),http://www.niperhyd.ac.in/,"NH 9, Balanagar Main Rd, Kukatpally Industrial Estate, Balanagar, Hyderabad, Telangana 500037, India",+91 40 2307 3741,info.niperhyd@gov.in
Hyderabad Educational Society,,"22-2-700/11, Darul Shafa, Darul Shafa, Hyderabad, Telangana 500024, India",+91 40 2457 4012,
"Livewire India Training Institute - Madhapur, Hyderabad",https://www.livewireindia.com/,"1-89/A/17, Flat No 401, LaxmiPrabha Residency In-Orbit Mall road, Kavuri Hills Phase 2 Rd, Madhapur, Telangana 500081, India",,info@livewireindia.com
Education,,"Narayanguda, backside of Gurunanak school, st.no.7, Hyderabad, Telangana 500029, India",+91 94918 44205,
Great Learning Hyderabad,https://www.mygreatlearning.com/?utm_source=google&utm_medium=organic&utm_campaign=GMBHyderabad,"B-Block, 1st Floor, Kavuri Incor9, (entrance from basement, Kavuri Hills Rd, Madhapur, Hyderabad, Telangana 500081, India",+91 80 4711 1120,info@mygreatlearning.com
Princess Esin Women's Educational Centre,http://www.pewec-pptt.org/,"22-3-643, Building, Backside Durre Shahwar Hospital, No-5, Purani Haveli Rd, near Princess Durru Shehvar Childrens Hospital, Purani Haveli, Hyderabad, Telangana 500002, India",+91 40 2457 8078,pewecpewec@yahoo.co.in
IT INSTITUTES,,"500038, Satyam Theatre Rd, Kumar Basti, Aditya Nagar, Ameerpet, Hyderabad, Telangana 500082, India",,
Dr. Raju's Educational Academy,https://www.drrajus.com/,"403 Hotel Swagath, Anupama & Dominos Building, Alluri Trade Centre, 5th floor,Besides Chennai Shopping Mall, Bhagya Nagar Colony, Kukatpally, Hyderabad, Telangana 500072, India",+91 99082 22209,hello@drrajus.com
RAHMAT EDUCATIONAL ACADEMY,,"No.2, 8-1-523/247, Brindavan Colony Rd, Galaxy, Sabza Colony, Brindavan Colony, Toli Chowki, Hyderabad, Telangana 500008, India",+91 90528 27013,
Career Bridge IT Services And Overseas Education,http://careerbridgeit.in/,"HIG 209, 3rd Floor, Above Punjab National Bank Rythu Bazar Road, KPHB Phase -1, Kukatpally Housing Board Colony, Hyderabad, Telangana 500072, India",+91 97053 23377,
Dwarka Institute for Professional Studies,,"3-9, NH 65, Millenium Residency, Krishna Nagar, Dilsukhnagar, Hyderabad, Telangana 500060, India",,
"AIIT Computer Education & Spoken English,Tally,Oracle,Aws,Testing Tools, AI,PowerBI,Full StackJava,Python Training Institute",https://www.aiitcomputeredu.com/,"3-5-2, National Highway 65 RTC Colony, LB Nagar, near metro station, near New bridge, starting point, Hyderabad, Telangana 500074, India",+91 90527 47078,aiitcomputereducation123@gmail.com
Nalanda Educational Institutions,http://onlenalanda.com/,"3-195/5, H.No: 8, Vengal Rao Nagar Rd, Sanjeeva Reddy Nagar, Hyderabad, Telangana 500038, India",+91 40 2381 3997,info@onlenalanda.com
National Institute of Secondary Education,http://niose.co.in/,"Door No: 5-5-475/2 & 3, APHB Complex, Opp CARE Hospital, MJ Road, Moazamjahi Market, Hyderabad, Telangana 500001, India",+91 99125 40011,director@superedu.co.in
Mahendra Educational Private Limited,https://www.mahendras.org/,"SAI SURYA TATA TOWER 3RD FLOOR, ABOVE SOUTH INDIAN BANK, NEAR MAITRIVANAM BUILDING AMEERPET, Hyderabad, Telangana 500016, India",,info@mahendras.org
Narayana Educational Institutions,https://www.narayanagroup.com/,"13/1, Street No. 5, Narayanguda, Hyderabad, Telangana 500029, India",,info@narayanagroup.com
Residency College Of Education,,"703, 2, 4/A, Lane No. 12, Banjara Hills, Hyderabad, Telangana 500034, India",,
IRA Educational institution,IRA-NALLAKUNTA,"Shivam Rd, opp. INDIAN BANK, Sai Baba Colony, Bagh Amberpet, Amberpet, Hyderabad, Telangana 500044, India",+91 83670 40088,
Vijetha College - B.Ed College in hyderabad,http://vijethacollege.online/,"Station road, opp.passport office, above state bank, near clock tower, Secunderabad, Telangana 500003, India",+91 81860 47777,vijethamail@gmail.com
Aditya Educational Society,,"1-19, Rd Number 1, Chaitanyapuri, Kothapet, Hyderabad, Telangana 500060, India",+91 40 2404 4118,
Vivekananda Institute of Human Excellence,,"CF6J+J6C, Indira Park Rd, Valmiki Nagar, Domalguda, Himayatnagar, Hyderabad, Telangana 500029, India",+91 91772 32696,
Al-Huda Institute Hyderabad India,http://www.farhathashmi.com/,"12-2-783, 4/3, Inner Ring Rd, Dilshad Nagar Colony, Mehdipatnam, Hyderabad, Telangana 500028, India",+91 98852 04229,admin@farhathashmi.com
Lakshya educational institution-2,,"govt hospital, Balkampet Rd, Sanjeeva Reddy Nagar, Hyderabad, Telangana 500038, India",,
Training institute,http://kalyanit.in/,"Unnamed Road, AP State Housing Board, Durga Nagar, Madhura Puri Colony, Gaddiannaram, Hyderabad, Telangana 500060, India",+91 90144 77500,mdevender2001@gmail.com
St Mary's Group Of Institutions Office,http://www.stmarysgroup.com/,"6-3-678/2, 4th floor, Pawani, Punjagutta Rd, Hyderabad, Telangana 500082, India",+91 81878 96062,enquiry@stmarysgroup.com
Integrated Institute Of Education Technology,,"Flat No: 406, 4th Floor, Srinivasa Complex, Near Pillar # 43, Mehdipatnam, Hyderabad, Telangana 500028, India",+91 86861 90660,
Narayana Educational Society,https://www.narayanagroup.com/,"1st Floor, Ansar Complex, Vivekananda Colony, Santosh Nagar, Mehdipatnam, Hyderabad, Telangana 500028, India",,info@narayanagroup.com
